Trial,Score,Num_Rules,Avg_Fraud_Rate,Fraud_Detection_Rate,max_rules_per_run,min_subset_size_absolute,min_subset_size_percent,max_iterations,num_runs,ga_num_generations,ga_population_size,ga_num_parents,ga_mutation_percent,max_features_per_rule,feature_reuse_penalty,min_threshold_value,LESS_LOOKUP_RULE_POSITION
55,1.06,3,0.3207153331042591,1.0,11,39,0.0012118825524430226,14,1,273,174,40,34,7,0.15108069589601983,0.00498004108486276,4
60,1.06,3,0.22059290785771513,1.0,10,38,0.002040447294839394,7,1,229,89,30,31,5,0.2046937971119894,0.0093979939233817,4
67,1.06,3,0.11897653802767895,1.0,8,81,0.0037124121055430873,8,1,207,148,27,27,5,0.22426907958486683,0.00895080379834625,6
70,1.06,3,0.10652126977711636,1.0,7,83,0.003588991135218483,8,1,192,137,28,19,5,0.10133045350375551,0.009950005726857206,6
73,1.06,3,0.08112827845821834,1.0,6,106,0.005055338550398629,11,1,171,127,13,22,4,0.1258670459433623,0.009064875410722914,5
74,1.06,3,0.15841424126038275,1.0,6,43,0.0026092762410284288,9,1,171,126,32,22,4,0.20580202457127672,0.009381698203423978,5
76,1.06,3,0.04756137340959609,1.0,8,128,0.008939787299240942,9,1,186,119,26,28,4,0.29078639945369233,0.009479048499864796,5
80,1.06,3,0.22776109238085543,1.0,9,30,0.001813615899208193,10,1,144,111,29,30,3,0.13082085369035443,0.008713494863026059,7
81,1.06,3,0.06739654901657349,1.0,7,90,0.00620097056810577,10,1,190,106,29,30,3,0.11770440127723522,0.008123240881315798,7
82,1.06,3,0.06533758505094249,1.0,7,30,0.0064841722190598795,10,1,140,106,26,25,3,0.11685745717561534,0.008175162670081402,6
83,1.06,3,0.127737514260539,1.0,7,76,0.0030738402371104437,10,1,155,134,31,26,3,0.18919201717987885,0.007911367369986572,5
84,1.06,3,0.12746260405713078,1.0,4,42,0.003248577535749714,11,1,213,135,31,26,5,0.17941474642963556,0.00825747584287162,5
89,1.06,3,0.1150247987362188,1.0,6,57,0.003849235577437256,5,1,164,152,32,32,4,0.20260322354320984,0.00991263201699682,6
92,1.06,3,0.10405732666888827,1.0,5,66,0.004059185414585215,12,1,199,129,34,28,5,0.4979772363381213,0.009174869482699483,5
96,1.06,3,0.04005014796932537,1.0,4,35,0.011298968987249107,9,1,291,160,33,35,5,0.2376796213721119,0.009596205233800698,5
97,1.06,3,0.07994580396058913,1.0,6,53,0.004935620159503496,9,1,266,159,30,37,4,0.2823460920256104,0.00963214243384788,5
0,1.04,2,0.017363699934281277,1.0,14,122,0.011232109741705371,20,1,132,67,35,22,13,0.4389691648037374,0.009093842044701768,7
4,1.04,2,0.05878095406631823,1.0,12,75,0.011298233497121477,10,1,254,197,37,25,7,0.7663565464023157,0.009481699167749628,7
5,1.04,2,0.02747232675455226,1.0,15,200,0.010132787230891348,17,1,79,91,19,5,15,0.4503851884599668,0.009675953308719005,3
10,1.04,2,0.06772633003553089,1.0,10,136,0.009748134764735256,5,1,261,167,15,20,7,0.2173150770328841,0.00736000009703023,9
11,1.04,2,0.027461575209339686,1.0,3,114,0.014225198360844515,8,1,100,50,34,23,7,0.7412462164516284,0.003666819049144431,6
12,1.04,2,0.05009098059569055,1.0,15,73,0.010618433998043977,13,1,226,97,21,10,7,0.3788920971824338,0.005142585564987586,8
13,1.04,2,0.0371267657431431,1.0,10,141,0.019171392687303127,5,1,159,189,28,35,4,0.10820906686526399,0.0004549618540964978,3
14,1.04,2,0.03491262170270351,1.0,11,139,0.01859924762328527,5,1,144,149,30,32,3,0.10390202333806525,0.006897498752699664,3
15,1.04,2,0.12644497839172528,1.0,10,129,0.00548993646073416,6,1,297,156,29,34,3,0.14962124083285938,0.00037403423696578085,3
19,1.04,2,0.09371276200113456,1.0,6,99,0.006231895803465513,8,1,186,135,25,29,9,0.5236496786639695,0.0025154508189270475,5
20,1.04,2,0.0933100936310478,1.0,5,89,0.0060175097412447035,9,1,187,176,24,18,9,0.5632587007918951,0.0018383441423337082,7
22,1.04,2,0.08553339485962355,1.0,8,156,0.007653845823982136,11,1,127,114,25,28,9,0.6835566157111561,0.0024398038960545135,7
23,1.04,2,0.07766960888455743,1.0,8,155,0.0077942325662257814,12,1,120,116,32,40,9,0.6709940713892807,0.002343147660060907,7
24,1.04,2,0.08594563299239734,1.0,9,158,0.007459599843086034,7,1,269,140,33,40,9,0.30689155164229676,0.002742194518006841,4
31,1.04,2,0.17121358942404444,1.0,13,114,0.003155592662414967,10,1,216,122,27,36,8,0.4954729459991418,0.00582745888856746,6
44,1.04,2,0.1173158333858064,1.0,14,47,0.004342185555725018,15,1,236,196,35,5,7,0.24667350346848882,0.004547974702031266,5
50,1.04,2,0.049482354482616446,1.0,12,72,0.012831308868604917,20,1,258,150,37,31,6,0.36159825780333815,0.0035544509814607497,3
63,1.04,2,0.035722582110958266,1.0,7,68,0.01790434465404143,11,1,291,161,34,29,4,0.5249676197024662,0.0028417245076283754,6
71,1.04,2,0.126598641205938,1.0,7,103,0.004846688172724077,8,1,195,139,30,19,4,0.16767784973008182,0.009776026187418007,6
1,1.02,1,0.001727485630620034,1.0,8,183,0.002503953211427855,14,1,103,131,20,38,12,0.21342192309860678,0.0038763354574052073,4
2,1.02,1,0.001727485630620034,1.0,14,176,0.010637524286277275,17,1,233,71,11,9,11,0.23226900110916854,0.004367502837167129,9
7,1.02,1,0.001727485630620034,1.0,7,184,0.0036433579130913636,18,1,65,48,15,23,11,0.2915674921655,0.00483812723028137,9
8,1.02,1,0.001727485630620034,1.0,7,33,0.00912348018359914,18,1,199,78,10,9,11,0.5614953885981981,0.008408215309408771,5
9,1.02,1,0.001727485630620034,1.0,12,62,0.001595188418735649,11,1,96,109,38,14,12,0.6213815654873487,0.00098727969430762,6
33,1.02,1,0.001727485630620034,1.0,13,175,0.002895292812494728,10,1,157,103,22,26,8,0.47210692131894694,0.003749720187790069,3
42,1.02,1,0.001727485630620034,1.0,14,46,0.014487981949956883,15,1,283,200,39,34,10,0.2591932507798096,0.004032356037204851,5
43,1.02,1,0.001727485630620034,1.0,14,47,0.004380219381403824,16,1,236,168,35,33,14,0.4150243799183854,0.004425524240738684,5
45,1.02,1,0.001727485630620034,1.0,14,46,0.004453939490790854,16,1,285,188,35,7,14,0.1905897883919459,0.0016592729914940074,5
46,1.02,1,0.001727485630620034,1.0,12,62,0.0039119619868079394,16,1,283,165,34,38,15,0.42296989190330064,0.004574855661299482,5
